Feature1,Feature2,Target
0.2014628138252522,0.979425214079664,1
0.5657907218279512,0.665285127891073,0
0.6448659331191924,0.9334001980510163,1
0.5809775517017921,0.8650776828630975,1
0.4481038113107282,0.949369768507313,1
0.822080172823205,0.1767141676375868,0
0.7661564006711767,0.328530638869648,0
0.6923428175339901,0.9163158763214301,1
0.5503589400976211,0.3243323888694213,0
0.4868131466592459,0.9347507318692071,1
0.3005401438166059,0.9286676796193909,1
0.07622312785901439,0.640964377221537,0
0.38338406961946075,0.9125195377414062,1
0.23540940209708477,0.8800411754984546,1
0.597994348382338,0.25942824750540366,0
0.0,0.7044002834375961,0
0.3792465013098,0.9344794375001204,1
0.5319504190844015,0.4938921039849654,0
0.5834606848067823,0.9628342349248611,1
0.22750103880098216,0.8769609867230075,1
0.276588817118965,0.6552094513447484,0
0.5358336748101111,0.9490497381527194,1
0.3928455768723756,0.8656614322386713,1
0.5496038866939117,0.8468429379579491,1
0.5339570866409984,0.8915286880805463,1
0.22767121106069196,0.8957803493469436,1
0.3097432762518637,0.8697992314438696,1
0.10242488587453424,0.6872330907029857,0
0.6495087672518318,0.524461221144269,0
0.7764852254591204,0.08991289840055572,0
0.49586521001252126,0.5239847932407173,0
0.4732694736543179,0.8636815905142214,1
0.5722421363304871,0.3934063680990904,0
0.7741204885431581,0.2944808276438,0
0.319104724917731,0.3311231070817562,0
0.5170795075799399,0.18241335447961698,0
0.38961629157668004,0.39143255429347906,0
0.21704095473955848,0.5066377956368608,0
0.3546343171900581,0.8498744655267368,0
0.5685827271750938,0.8967441088762331,1
0.5637711435581444,0.2816588269020004,0
0.7514032058761428,0.9049896932680448,1
0.3842616083261372,0.431936425150366,0
0.9999999999999999,0.01681409218693586,0
0.37072430990542005,0.6115200854733331,0
0.647482052704744,0.9326515927622565,1
0.8313564819084382,0.8800193642023224,1
0.502409281455902,0.5215308906535042,0
0.6545365136298381,0.8983631997078803,1
0.31949913121105444,0.6130851356570829,0
0.4623998565232472,0.8548622091598868,1
0.10770163643552838,0.9884793626785346,1
0.590937831390606,0.2666634009336982,0
0.2601227157391423,0.8624163974935182,1
0.9297331622208829,0.3598462878937984,0
0.6767756661800381,0.8822238981886885,1
0.6852235684582093,0.31417017356863386,0
0.5986175779074201,0.0424843720073006,0
0.4851818055538164,0.9323494816250342,1
0.6197938730871357,0.19035013670619805,0
0.6814070209168906,0.8599834841646442,1
0.5614401898297301,0.856017904187894,1
0.5443178412548062,0.47645608903337927,0
0.3734620621359118,0.9451194391230977,1
0.37692819929990573,0.6060778114843458,0
0.47489543576130533,0.8753188169446089,1
0.6638895653414734,0.8666298149008496,1
0.39151400230733546,0.8938304803080177,1
0.5069795616166297,0.49613050598013275,0
0.7087662778871707,0.9460832358362226,1
0.6153556876109749,0.9105336362073896,1
0.47978488555327503,0.42666952620198156,0
0.6661948700416781,0.2671299725355312,0
0.3037424088054563,0.9357036149288525,1
0.44578941874696876,0.8522015906262794,1
0.4425646876855528,0.4245007864192714,0
0.4417834173979164,0.8798141571903113,1
0.35207536091582925,0.955926920301763,1
0.549382638331479,0.8825912541553042,1
0.2183216940236461,0.7151740020939719,0
0.7588917464338177,0.3679753570345924,0
0.10385979463492623,0.9778021908313594,1
0.559379235725974,0.38735069806418837,0
0.3520681390568322,0.994160790437179,0
0.5343025667730144,0.0,0
0.5369612427619209,0.048928947349026974,0
0.5240787693515407,0.6144977029772002,0
0.4411243135813907,0.5760826068857188,0
0.15340300112528996,1.0,1
0.3171256039564862,0.9462299579622228,0
0.6942037330363058,0.8855139385031555,1
0.2975801037553839,0.5171022398887059,0
0.46544057262665994,0.937826147157987,0
0.6107376505933542,0.6826780405457901,0
0.26065578470305184,0.9131892086098718,1
0.5804360840597991,0.8829931982410181,1
0.4086136856867286,0.947827211053107,1
0.48040315397972144,0.6082314514647623,0
0.27998872020098087,0.8495881319382088,1
0.9124173747582346,0.8989891661669149,1
